"Sens Factor =-1.898dB, SERNO: 7200660"
"Auto-generated 90-degree calibration file"
83.394	0.4846
84.433	0.4758
85.484	0.4681
86.548	0.4618
87.625	0.4569
88.716	0.4532
89.820	0.4503
90.939	0.4478
92.071	0.4454
93.217	0.4430
94.377	0.4402
95.552	0.4371
96.742	0.4337
97.946	0.4301
99.165	0.4264
100.400	0.4228
101.650	0.4191
102.915	0.4154
104.196	0.4116
105.493	0.4076
106.806	0.4037
108.136	0.3997
109.482	0.3959
110.845	0.3921
112.225	0.3885
113.622	0.3851
115.037	0.3818
116.469	0.3787
117.919	0.3759
119.386	0.3733
120.873	0.3709
122.377	0.3688
123.901	0.3669
125.443	0.3651
127.005	0.3634
128.586	0.3617
130.187	0.3602
131.807	0.3587
133.448	0.3573
135.109	0.3560
136.791	0.3547
138.494	0.3534
140.218	0.3521
141.964	0.3510
143.731	0.3500
145.520	0.3489
147.332	0.3478
149.166	0.3464
151.023	0.3448
152.903	0.3430
154.806	0.3412
156.734	0.3392
158.685	0.3372
160.660	0.3351
162.660	0.3330
164.685	0.3309
166.735	0.3287
168.811	0.3264
170.912	0.3241
173.040	0.3216
175.194	0.3190
177.375	0.3163
179.583	0.3133
181.819	0.3101
184.082	0.3066
186.374	0.3030
188.694	0.2993
191.043	0.2954
193.421	0.2916
195.829	0.2876
198.267	0.2835
200.735	0.2793
203.234	0.2750
205.764	0.2708
208.325	0.2668
210.919	0.2631
213.544	0.2596
216.203	0.2566
218.894	0.2537
221.619	0.2511
224.378	0.2487
227.171	0.2464
229.999	0.2442
232.862	0.2420
235.761	0.2398
238.696	0.2378
241.668	0.2359
244.676	0.2343
247.722	0.2330
250.806	0.2320
253.928	0.2312
257.089	0.2305
260.290	0.2298
263.530	0.2292
266.810	0.2286
270.132	0.2279
273.495	0.2271
276.899	0.2263
280.346	0.2252
283.836	0.2239
287.370	0.2221
290.947	0.2199
294.569	0.2173
298.236	0.2142
301.949	0.2108
305.708	0.2071
309.513	0.2030
313.366	0.1986
317.267	0.1939
321.217	0.1887
325.216	0.1831
329.264	0.1773
333.363	0.1711
337.513	0.1648
341.715	0.1582
345.969	0.1513
350.276	0.1440
354.636	0.1364
359.051	0.1287
363.521	0.1209
368.046	0.1132
372.628	0.1057
377.266	0.0987
381.963	0.0919
386.718	0.0851
391.532	0.0780
